"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","Validate GET users API","Firefox","2026-02-28","passed","2026-02-28","API Tests - ReqRes","api.spec.ts","",""
"","1060","get started link","Chromium","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","869","has title","Chromium","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","8078","get started link","WebKit","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","879","User can login successfully","Chromium","2026-02-28","passed","2026-02-28","Login Feature","login.spec.ts","",""
"","1885","User can login successfully","WebKit","2026-02-28","passed","2026-02-28","Login Feature","login.spec.ts","",""
"","1039","User can login successfully","Firefox","2026-02-28","passed","2026-02-28","Login Feature","login.spec.ts","",""
"","5893","has title","WebKit","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","421","Validate GET users API","Chromium","2026-02-28","passed","2026-02-28","API Tests - ReqRes","api.spec.ts","",""
"","253","Validate GET users API","WebKit","2026-02-28","passed","2026-02-28","API Tests - ReqRes","api.spec.ts","",""
"","2561","get started link","Firefox","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","2129","has title","Firefox","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
