"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2696","get started link","Firefox","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","2055","User can login successfully","WebKit","2026-09-16","passed","2026-09-16","Login Feature","login.spec.ts","",""
"","781","User can login successfully","Chromium","2026-09-16","passed","2026-09-16","Login Feature","login.spec.ts","",""
"","1054","get started link","Chromium","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","444","Validate GET users API","Chromium","2026-09-16","passed","2026-09-16","API Tests - ReqRes","api.spec.ts","",""
"","845","has title","Chromium","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","136","Validate GET users API","WebKit","2026-09-16","passed","2026-09-16","API Tests - ReqRes","api.spec.ts","",""
"","7530","get started link","WebKit","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","144","Validate GET users API","Firefox","2026-09-16","passed","2026-09-16","API Tests - ReqRes","api.spec.ts","",""
"","975","User can login successfully","Firefox","2026-09-16","passed","2026-09-16","Login Feature","login.spec.ts","",""
"","2194","has title","Firefox","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
"","6181","has title","WebKit","2026-09-16","passed","2026-09-16","","example.spec.ts","",""
