"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4915","has title","WebKit","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
"","974","User can login successfully","Chromium","2026-03-23","passed","2026-03-23","Login Feature","login.spec.ts","",""
"","2375","has title","Firefox","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
"","1192","get started link","Chromium","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
"","1100","User can login successfully","Firefox","2026-03-23","passed","2026-03-23","Login Feature","login.spec.ts","",""
"","244","Validate GET users API","WebKit","2026-03-23","passed","2026-03-23","API Tests - ReqRes","api.spec.ts","",""
"","928","has title","Chromium","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
"","5750","get started link","WebKit","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
"","2006","User can login successfully","WebKit","2026-03-23","passed","2026-03-23","Login Feature","login.spec.ts","",""
"","408","Validate GET users API","Chromium","2026-03-23","passed","2026-03-23","API Tests - ReqRes","api.spec.ts","",""
"","263","Validate GET users API","Firefox","2026-03-23","passed","2026-03-23","API Tests - ReqRes","api.spec.ts","",""
"","2804","get started link","Firefox","2026-03-23","passed","2026-03-23","","example.spec.ts","",""
